"WS_ID","WS_DATE","WS_TIME","PLATFORM_CD","LATITUDE","LONGITUDE","TRIPTYPE_CD","DATASOURCE_CD","WINDDIR_CD","BEAUFORT_CD","VESSSPEED","VESSHEAD_CD","ALTITUDE","GLAREL_CD","GLARER_CD","VISIBILITY_CD","CLOUD_CD","SIGHTOBS_CD","BATCH_ID","DATE_ENTERED","DATA_TYPE","REGION_CD","DATACENTER_CD","RESTRICTION_CD","WS_TIME_UTC","DATE_UPDATED","PLATFORM_TYPE_CD","TRIP_FLIGHT_NUMBER","MMSI","LCQECODE_CD","LOC_UNCERTAINTY_QUANTITATIVE","MAINTAINER_CD","DATA_TYPE_CD","WS_DATETIME","WS_DATETIME_UTC","SUSPECTED_DATA_ISSUE","TRIPTYPE_LEGACY_CD","DATASOURCE_LEGACY_CD","WS_EVENT_ID","WS_ID_1","EVENT_CD","GEAR_CD","SPECIES_CD","IDREL_CD","BEST_COUNT","CL_CD","ANBEARING","ANHEAD_CD","NOGRPS","DISTANCE","GEARIMPACT_CD","COMMENTS","DATE_UPDATED_1","MIN_COUNT","MAX_COUNT","COUNT_UNCERTAINTY_CD","WS_DETAIL_ID","WS_EVENT_ID_1","WHALENO","WHALEID","MATURITY_CD","SWIMDIR_CD","FEATURE_TYPE_CD","FEATURE_DESC","MARKS","PHOTO_CD","COMMENTS_1","FRAME_REF","BEHAVIOUR_CD1","BEHAVIOUR_CD2","BEHAVIOUR_CD3","BEHAVIOUR_CD4","BEHAVIOUR_CD5","ANIMAL_CONDITION","LENGTH_RANGE","DATE_UPDATED_2","SPECIES_CD_1","COMMONNAME","URI","SCIENTIF"
14513,1970-08-05,,64,45,-60.32,2,2,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2022-08-22,,"","",,,,,1970-08-05 00:00:00,,"",2,2,13875,14513,1,0,7021,1,1,,,,,,,"killed by whalers",,,,,57126,13875,,"",,,,"","",,"","",3,,,,,"DEAD","",,7021,"WHALE-FIN","FIWH","Balaenoptera physalus"
14537,1970-08-20,,64,45,-60.29,2,2,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2022-08-22,,"","",,,,,1970-08-20 00:00:00,,"",2,2,13899,14537,1,0,7021,1,1,,,,,,,"killed by whalers",,,,,56077,13899,,"",,,,"","",,"","",3,,,,,"DEAD","",,7021,"WHALE-FIN","FIWH","Balaenoptera physalus"
15383,1991-07-06,,65,46.883333,-60.45,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2023-09-27,1,"","",,,,1,1991-07-06 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,14744,15383,1,0,7029,1,1,,,,,,,"DFO DATA",2022-03-10,,,,18754,14744,,"",,,,"","",,"null","",38,,,,,"","",2022-03-11,7029,"WHALE-BELUGA","BELU","Delphinapterus leucas"
15654,1992-04-08,,65,45.633333,-57.983333,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","NL","SABS","P",,2023-09-27,1,"","",,,,1,1992-04-08 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15011,15654,1,0,7031,1,6,,,,,,,"",2022-03-10,,,,19437,15011,,"",,,,"","",,"","",38,54,99,,,"","",2022-03-11,7031,"WHALE-LONG-FINNED PILOT","","Globicephala melas"
15473,1992-10-18,,65,46.483333,-59.366666,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2023-09-27,1,"","",,,,1,1992-10-18 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,14832,15473,1,0,7022,1,1,,,,,,,"",2022-03-10,,,,18804,14832,,"",,,,"","",,"","",38,30,99,,,"","",2022-03-11,7022,"WHALE-MINKE","MIWH","Balaenoptera acutorostrata"
15809,1993-04-27,,65,46.416666,-59.233333,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2023-09-27,1,"","",,,,1,1993-04-27 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15163,15809,1,0,920,1,1,,,,,,,"",2022-03-10,,,,19551,15163,,"",,,,"","",,"","",38,54,99,,,"","",2022-03-11,920,"WHALES (NS)","UNLW",""
15810,1993-04-27,,65,46.516666,-59.366666,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2023-09-27,1,"","",,,,1,1993-04-27 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15164,15810,1,0,920,1,1,,,,,,,"",2022-03-10,,,,19552,15164,,"",,,,"","",,"","",38,54,99,,,"","",2022-03-11,920,"WHALES (NS)","UNLW",""
15822,1993-04-28,,65,46.916666,-59.916666,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2023-09-27,1,"","",,,,1,1993-04-28 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15176,15822,1,0,7021,1,1,,,,,,,"",2022-03-10,,,,19561,15176,,"",,,,"","",,"","",38,99,99,,,"","",2022-03-11,7021,"WHALE-FIN","FIWH","Balaenoptera physalus"
15836,1993-04-29,,65,46.616666,-59.516666,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2023-09-27,1,"","",,,,1,1993-04-29 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15189,15836,1,0,7021,1,1,,,,,,,"",2022-03-10,,,,19571,15189,,"",,,,"","",,"","",38,54,99,,,"","",2022-03-11,7021,"WHALE-FIN","FIWH","Balaenoptera physalus"
15835,1993-04-29,,65,46.733333,-59.683333,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2023-09-27,1,"","",,,,1,1993-04-29 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15188,15835,1,0,920,1,1,,,,,,,"",2022-03-10,,,,19570,15188,,"",,,,"","",,"","",38,54,99,,,"","",2022-03-11,920,"WHALES (NS)","UNLW",""
15688,1993-06-10,,65,46.833333,-59.95,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","MAR","SABS","P",,2023-09-27,1,"","",,,,1,1993-06-10 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15045,15688,1,0,933,1,2,,,,,,,"",2022-03-10,,,,19463,15045,,"",,,,"","",,"","",38,99,99,,,"","",2022-03-11,933,"DOLPHIN-ATLANTIC WHITE-SIDED","WSDO","Lagenorhynchus acutus"
15725,1993-06-14,,65,45,-57.783333,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","NL","SABS","P",,2023-09-27,1,"","",,,,1,1993-06-14 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15081,15725,1,0,7024,1,2,,,,,,,"",2022-03-10,,,,19490,15081,,"",,,,"","",,"","",38,99,99,,,"","",2022-03-11,7024,"WHALE-HUMPBACK","HUWH","Megaptera novaeangliae"
15766,1993-06-21,,65,45,-57.833333,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","NL","SABS","P",,2023-09-27,1,"","",,,,1,1993-06-21 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15122,15766,1,0,7021,1,1,,,,,,,"",2022-03-10,,,,18908,15122,,"",,,,"","",,"","",38,99,99,,,"","",2022-03-11,7021,"WHALE-FIN","FIWH","Balaenoptera physalus"
15767,1993-06-21,,65,45.916666,-58.233333,2,1,99,13,99,99,99,9,9,9,0,7,"",2016-12-07,"","NL","SABS","P",,2023-09-27,1,"","",,,,1,1993-06-21 00:00:00,,"Records marked as DFO Incident Reports are confirmed to be from At-Sea Fisheries Observers, but their exact source is not known. These could contain incidents or sightings of live, free-swimming animals. Records marked as DEAD are known to be dead, but blank records indicate that the condition of the animal is not known.",2,1,15123,15767,1,0,920,1,1,,,,,,,"",2022-03-10,,,,19521,15123,,"",,,,"","",,"","",38,99,99,,,"","",2022-03-11,920,"WHALES (NS)","UNLW",""
