species,species_name,group
WHALE-FIN,FIN WHALE,baleen
WHALE-BELUGA,BELUGA WHALE,bigdolphin
WHALE-LONG-FINNED PILOT,LONG-FINNED PILOT WHALE,bigdolphin
WHALE-MINKE,MINKE WHALE,baleen
WHALES (NS),UNIDENTIFIED CETACEAN,unknown
DOLPHIN-ATLANTIC WHITE-SIDED,ATLANTIC WHITE-SIDED DOLPHIN,littledolphin
WHALE-HUMPBACK,HUMPBACK WHALE,baleen
DOLPHINS/PORPOISE (NS),UNIDENTIFIED DOLPHIN/PORPOISE,littledolphin
DOLPHIN-COMMON,COMMON DOLPHIN,littledolphin
WHALE-FIN/SEI,FIN/SEI WHALE,baleen
DOLPHIN-ATLANTIC BOTTLENOSE,ATLANTIC BOTTLENOSE DOLPHIN,littledolphin
PORPOISE-HARBOUR,HARBOUR PORPOISE,littledolphin
WHALE-NORTH ATLANTIC RIGHT,NORTH ATLANTIC RIGHT WHALE,baleen
WHALE-BLUE,BLUE WHALE,baleen
WHALE-SEI,SEI WHALE,baleen
DOLPHIN-WHITE-BEAKED,WHITE-BEAKED DOLPHIN,littledolphin
WHALE-CUVIER'S BEAKED,CUVIER'S BEAKED WHALE,bigdolphin
WHALE-SPERM,SPERM WHALE,bigdolphin
WHALE-BALEEN (NS),UNIDENTIFIED BALEEN WHALE,baleen
WHALE-NORTHERN BOTTLENOSE,NORTHERN BOTTLENOSE WHALE,bigdolphin
FALSE KILLER WHALE,FALSE KILLER WHALE,bigdolphin
CETACEAN (NS),UNIDENTIFIED CETACEAN,unknown
WHALE-BEAKED (NS),UNIDENTIFIED BEAKED WHALE,bigdolphin
DOLPHIN-RISSO'S,RISSO'S DOLPHIN,littledolphin
DOLPHIN-FRASER'S,FRASER'S DOLPHIN,littledolphin
